target_id,model,msa_runtime_sec,msa_carbon_emissions_g,model_inference_time_sec,model_carbon_emissions_g,total_time_with_shared_msa_sec,total_carbon_with_shared_msa_g,lddt_ca,ca_rmsd,tmalign_tm_score_ref
7ROA_chainA,protenix,455.148075,12.945842548316987,75.261586,2.072629095606774,530.409661,15.0184716439,0.730185817216534,4.106018334570136,0.80384
7ROA_chainA,openfold3,455.148075,12.945842548316987,84.219106,2.436845393239183,539.367181,15.3826879416,0.7168183541903679,4.131619162219426,0.80981
7QIH_chainA,protenix,475.625353,13.552321583052175,75.415474,2.0918819345105852,551.040827,15.6442035176,0.958498023715415,1.405344762263112,0.94602
7QIH_chainA,openfold3,475.625353,13.552321583052175,83.977125,2.42983858656678,559.602478,15.9821601696,0.9361001317523056,1.9175920057208051,0.88654
8ORK_chainA,protenix,465.470105,13.46764931337045,88.466665,2.793311023910093,553.936770,16.2609603373,0.8444084278768234,2.546290610665149,0.85363
8ORK_chainA,openfold3,465.470105,13.46764931337045,123.225849,4.398952662587649,588.695954,17.866601976,0.8414654951804146,3.27891495785767,0.82502
7UYX_chainA,protenix,448.281940,12.831112620457894,75.482498,2.1482196628364574,523.764438,14.9793322833,0.851063829787234,14.664131107135033,0.68229
7UYX_chainA,openfold3,448.281940,12.831112620457894,84.893236,2.60903992744192,533.175176,15.4401525479,0.8225859247135843,15.81125909176728,0.66384
7UTD_chainA,protenix,471.528735,13.672561791231034,95.862228,3.1571631408883998,567.390963,16.8297249321,0.9486050800071384,0.8200638528051659,0.99034
7UTD_chainA,openfold3,471.528735,13.672561791231034,140.803015,5.22894886848581,612.331750,18.9015106597,0.940396169174945,0.8619147332016955,0.9891
